dibilangnya,katanya,,
yaampun,ya ampun,,
cupu,payah,,
coi,,,
unsuccessfull,,,
nyampainya,sampainya,,
ogahan,enggan,,
lphk,laporan pengaduan,,
rumahku,rumah saya,,
perum,perumahan,,
aza,saja,,
marketingnya,pemasaran,,
sani,sana,,
ikutin,ikuti,,
anjing,,,
gegara,gara gara,,
pbg,pengambilan barang,,
mksudnya,maksudnya,,
mbok,,,
intelegence,intelijen,,
cakep,tampan,,
efisian,efisien,,
ampol,ampun,,
kuiansi,kuitansi,,
ngaco,ngawur,,
mbanya,ibunya,,
ngenakin,enak,,
lagian,lagipula,,
srh,suruh,,
ngeposin,mengirim,,
rd,,,
ditraining,dilatih,,
primanya,utamanya,,
ja,saja,,
alloh,Allah,,
diridhoi,diridai,,
recomend,rekomendasi,,
kapokk,kapok,,
engk,tidak,,
masuh,masih,,
bayarin,membayari,,
ente,kamu,,
nyantol,tersangkut,,
parahhhhh,parah,,
ups,,,
ruwet,rumit,,
sayya,saya,,
webchat,,,
whaatt,,,
postingan,unggahan,,
pda,pada,,
kmren,kemarin,,
bosok,busuk,,
smrg,semarang,,
dikrim,dikirim,,
tlpun,telepon,,
dhbgi,dihubungi,,
prosesnyaa,prosesnya,,
paketanku,paketku,,
haruse,harusnya,,
lha,lah,,
sebenere,sebenarnya,,
ki,ini,,
karyawane,karyawannya,,
takyat,rakyat,,
msk,masuk,,
bareng,bersama,,
kkenapa,kenapa,,
pesenan,pesanan,,
dhhbungi,dihubungi,,
sudh,sudah,,
sekrg,sekarang,,
dikriim,dikirim,,
kpd,kepada,,
mw,mau,,
buanget,banget,,
mlng,malang,,
nyampai,sampai,,
mmg,memang,,
jauhhh,jauh,,
xlipat,sepuluh kali,,
diketemukan,ditemukan,,
digudang,di gudang,,
dngn,dengan,,
tokped,tokopedia,,
apaa,apa,,
yaaa,ya,,
btw,,,
pelayaanan,pelayanan,,
ter,,,
bangke,bangkai,,
baso,bakso,,
cuyy,,,
dibilangin,diberi tahu,,
dituliss,ditulis,,
begooo,bodoh,,
grgr,gara gara,,
kepotong,terpotong,,
puksa,pulsa,,
bubarin,bubarkan,,
ajalah,saja lah,,
opo,apa,,
iki,ini,,
nginput,memasukkan,,
ngerokok,merokok,,
neh,,,
materaiii,materai,,
cuiuui,cuek,,
sepiiii,sepi,,
infokan,informasikan,,
trimakasih,terima kasih,,
dtimbun,ditimbun,,
smpek,sampai,,
maslah,masalah,,
cmn,cuma,,
alsan,alasan,,
orgnya,orangnya,,
ketok,ketuk,,
dengerin,dengarkan,,
dulualah,dulu lah,,
padahl,padahal,,
suru,suruh,,
anu,sesuatu,,
ono,ada,,
bayarrrr,bayar,,
gaaaaa,tidak,,
gratisssss,gratis,,
terparah,paling parah,,
taik,kotoran,,
nyobain,mencoba,,
dikecewain,dikecewakan,,
memperlakulan,memperlakukan,,
bnyk,banyak,,
ngelola,mengelola,,
mls,malas,,
dalem,dalam,,
dkit,sedikit,,
kurirny,kurirnya,,
kendor,kendur,,
kemanaaaaaa,ke mana,,
hadeuhhh,aduh,,
aturankan,aturkah,,
laa,,,
pedhalkan,pedal kan,,
sayakan,saya kan,,
jadiin,jadikan,,
okt,oktober,,
menelp,menelepon,,
expired,expired,,
berfikir,berpikir,,
ternyaa,ternyata,,
songong,sombong,,
doank,saja,,
madih,masih,,
anjir,,,
lhh,,,
gx,tidak,,
asw,,,
kemis,kamis,,
ddistribusinya,distribusinya,,
oy,,,
dodol,bodoh,,
ditangerang,di tangerang,,
diakun,di akun,,
shope,shopee,,
menau,entah,,
dimna,di mana,,
ngepos,mengirim,,
kearah,ke arah,,
kustomer,pelanggan,,
dongkol,kesal,,
asalan,asal-asalan,,
siapapun,siapa pun,,
custumor,pelanggan,,
playanya,pelayanannya,,
nexday,nextday,,
perbaikilh,perbaikilah,,
jngn,jangan,,
kecewakn,kecewakan,,
dioper,dioperkan,,
ekpedisi,ekspedisi,,
menginput,memasukkan,,
tujyan,tujuan,,
ybs,yang bersangkutan,,
drpd,daripada,,
scra,secara,,
susahhh,susah,,
dianggep,dianggap,,
trening,pelatihan,,
qoo,kok,,
ads,,,
blagak,sok,,
kebelakang,ke belakang,,
kucuk,kecil,,
helloo,,,
katannya,katanya,,
hadeuuhh,aduh,,
namu,namun,,
dihub,dihubungi,,
ttg,tentang,,
servisnya,pelayanannya,,
trackingnya,pelacakannya,,
diwarung,di warung,,
tarifparkirmemanggakkenalmanamotorbagusmotorjelek,tarif parkir memang tak kenal nama motor bagus motor jelek,,
sampaii,sampai,,
pengirimanya,pengirimannya,,
nyairin,mencairkan,,
ekpresi,ekspresi,,
laki,laki-laki,,
kebetulannya,kebetulan,,
andapun,Anda pun,,
jumawanya,sombongnya,,
capeknya,lelahnya,,
malih,malah,,
kasi,kasih,,
sequrity,sekuriti,,
myenangkann,menyenangkan,,
peket,paket,,
kapetakan,keterlambatan,,
samoe,sampai,,
aoa,apa,,
stlah,setelah,,
